id,blok_gudang,mode_pengiriman,panggilan_layanan_pelanggan,rating_pelanggan,harga_produk,pembelian_sebelumnya,kepentingan_produk,jenis_kelamin,diskon_ditawarkan,berat_dalam_gram,pengiriman_tepat_waktu
91,D,kapal,4,4,140.0,3,sedang,Laki-laki,11,1911.0,1
92,D,kapal,6,4,205.0,3,rendah,Perempuan,44,2064.0,1
93,F,pesawat,5,2,252.0,5,rendah,Perempuan,10,1568.0,0
94,B,kapal,3,3,228.0,2,sedang,Laki-laki,27,3473.0,1
95,F,pesawat,4,5,253.0,2,rendah,Perempuan,36,3389.0,1
96,F,kapal,5,5,286.0,3,rendah,Perempuan,18,,1
97,D,kapal,5,1,143.0,3,sedang,Perempuan,3,4907.0,1
98,F,pesawat,4,1,172.0,3,sedang,Perempuan,10,5106.0,1
99,D,pesawat,3,5,238.0,2,rendah,Perempuan,8,5769.0,0
100,F,darat,4,4,224.0,3,sedang,Laki-laki,9,,1
101,F,kapal,3,1,243.0,2,sedang,Laki-laki,10,5460.0,0
102,C,kapal,5,5,234.0,2,sedang,Laki-laki,44,2548.0,1
103,A,pesawat,3,3,213.0,6,rendah,Perempuan,17,2424.0,1
104,D,kapal,2,4,271.0,8,sedang,Perempuan,10,4183.0,0
105,C,kapal,3,4,151.0,3,rendah,Laki-laki,2,5712.0,1
106,B,kapal,4,4,233.0,4,sedang,Perempuan,59,2358.0,1
107,F,kapal,2,4,181.0,6,sedang,Perempuan,16,3605.0,1
108,D,kapal,4,1,189.0,3,sedang,Laki-laki,5,4496.0,1
109,F,kapal,3,2,184.0,5,tinggi,Perempuan,26,3336.0,1
110,B,kapal,4,2,233.0,7,sedang,Laki-laki,56,3925.0,1
111,B,pesawat,5,5,169.0,4,rendah,Perempuan,2,4188.0,0
112,F,kapal,3,2,213.0,2,sedang,Perempuan,54,2809.0,1
113,D,kapal,4,4,239.0,3,sedang,Perempuan,7,5297.0,1
114,B,pesawat,2,4,184.0,5,,Laki-laki,9,5812.0,0
115,B,kapal,5,4,242.0,5,sedang,Laki-laki,1,1824.0,1
116,F,kapal,4,2,224.0,3,rendah,Perempuan,9,4896.0,0
117,F,kapal,3,3,253.0,3,tinggi,Laki-laki,1,4263.0,1
118,B,kapal,3,3,265.0,3,sedang,Perempuan,8,5070.0,0
119,D,kapal,6,1,245.0,4,rendah,Perempuan,10,1606.0,0
120,D,kapal,4,2,233.0,4,tinggi,Perempuan,6,5256.0,0
121,F,pesawat,2,5,156.0,5,sedang,Laki-laki,7,5780.0,0
122,F,kapal,4,2,253.0,5,rendah,Perempuan,3,1086.0,1
123,A,kapal,4,5,155.0,4,tinggi,Perempuan,48,1972.0,1
124,F,kapal,3,3,197.0,3,rendah,Perempuan,4,,1
125,B,pesawat,4,2,167.0,2,rendah,Perempuan,5,1169.0,1
126,F,kapal,4,4,197.0,7,sedang,Perempuan,22,2065.0,1
127,A,darat,6,5,269.0,4,rendah,Perempuan,2,1243.0,0
128,F,darat,4,5,258.0,2,sedang,Perempuan,2,4303.0,1
129,F,kapal,2,3,145.0,3,sedang,Perempuan,24,7588.0,1
130,F,kapal,5,5,221.0,5,rendah,Laki-laki,7,1958.0,1
131,D,kapal,6,1,264.0,3,tinggi,Perempuan,5,4435.0,1
132,A,kapal,7,1,291.0,4,sedang,Perempuan,1,1796.0,0
133,D,darat,3,3,158.0,3,rendah,Perempuan,2,5205.0,1
134,F,pesawat,4,2,256.0,4,rendah,Perempuan,7,5571.0,0
135,F,pesawat,4,5,209.0,8,sedang,Perempuan,59,2948.0,1
136,C,pesawat,4,4,232.0,3,sedang,Perempuan,61,2484.0,1
137,F,kapal,4,2,222.0,2,rendah,Laki-laki,1,5028.0,1
138,F,kapal,4,1,244.0,3,rendah,Laki-laki,59,3073.0,1
139,B,kapal,3,2,198.0,4,rendah,Perempuan,3,4172.0,1
140,A,pesawat,5,3,175.0,3,rendah,Laki-laki,7,4833.0,1
141,C,darat,3,5,275.0,2,rendah,Perempuan,7,4619.0,0
142,D,pesawat,6,2,268.0,4,rendah,Laki-laki,7,1943.0,0
143,D,kapal,4,4,211.0,4,sedang,Laki-laki,8,4747.0,1
144,D,darat,5,4,228.0,5,rendah,Perempuan,9,1549.0,1
145,F,kapal,4,1,212.0,2,sedang,Laki-laki,4,4969.0,0
146,D,kapal,3,4,,2,sedang,Perempuan,38,,1
147,F,pesawat,4,4,282.0,6,sedang,Perempuan,52,3009.0,1
148,C,kapal,4,1,202.0,3,sedang,Perempuan,18,3940.0,1
149,B,kapal,7,2,248.0,4,sedang,Perempuan,1,1163.0,1
150,D,kapal,6,5,308.0,4,rendah,Laki-laki,2,1125.0,1
151,D,kapal,3,1,152.0,2,sedang,Perempuan,2,4136.0,0
152,D,kapal,4,5,,2,sedang,Perempuan,40,2710.0,1
153,D,kapal,5,5,204.0,5,sedang,Perempuan,10,4251.0,0
154,C,kapal,4,5,160.0,6,rendah,Perempuan,4,4684.0,1
155,B,kapal,4,3,232.0,5,rendah,Perempuan,9,1856.0,0
156,F,kapal,5,1,258.0,2,sedang,Perempuan,48,3717.0,1
157,C,kapal,3,3,149.0,2,sedang,Laki-laki,7,1145.0,1
158,C,pesawat,5,2,232.0,2,sedang,Laki-laki,24,2174.0,1
159,D,pesawat,2,1,218.0,2,rendah,Laki-laki,15,2745.0,1
160,A,kapal,4,4,254.0,5,rendah,Laki-laki,9,1654.0,1
161,F,kapal,4,3,271.0,5,rendah,Laki-laki,6,1555.0,1
162,F,kapal,3,2,222.0,2,sedang,Laki-laki,1,4021.0,1
163,B,kapal,4,4,218.0,2,sedang,Laki-laki,27,2824.0,1
164,A,kapal,4,2,271.0,3,sedang,Perempuan,4,5902.0,0
165,F,kapal,2,2,259.0,3,rendah,Laki-laki,6,4840.0,1
166,F,kapal,5,1,183.0,3,sedang,Perempuan,8,,0
167,D,kapal,4,1,264.0,3,rendah,Perempuan,39,3719.0,1
168,F,darat,4,3,134.0,4,rendah,Laki-laki,3,5233.0,0
169,F,kapal,3,4,265.0,10,rendah,Laki-laki,10,4049.0,0
170,A,kapal,5,5,264.0,3,sedang,Perempuan,27,2019.0,1
171,C,pesawat,3,4,183.0,3,rendah,Perempuan,1,5959.0,1
172,F,kapal,3,1,142.0,3,sedang,Perempuan,10,4915.0,1
173,F,darat,4,5,135.0,2,tinggi,Perempuan,22,1195.0,1
174,A,kapal,3,1,183.0,2,rendah,Laki-laki,5,5329.0,1
175,F,kapal,2,2,171.0,2,sedang,Perempuan,6,5105.0,0
176,A,kapal,5,1,269.0,3,rendah,Perempuan,5,5031.0,0
177,F,kapal,6,2,286.0,4,sedang,Laki-laki,6,1556.0,1
178,F,kapal,4,4,194.0,4,rendah,Perempuan,10,5024.0,0
179,C,kapal,6,2,282.0,4,rendah,Laki-laki,1,1857.0,1
180,B,kapal,3,3,261.0,8,sedang,Laki-laki,3,4007.0,1
181,C,darat,2,5,263.0,3,rendah,Perempuan,5,2947.0,1
182,A,pesawat,4,2,258.0,5,sedang,Laki-laki,2,1494.0,0
183,A,pesawat,3,1,245.0,3,rendah,Perempuan,4,5449.0,0
184,B,kapal,3,3,201.0,10,tinggi,Laki-laki,10,5281.0,0
185,F,darat,4,2,149.0,2,sedang,Laki-laki,8,5460.0,1
186,D,kapal,3,4,249.0,3,tinggi,Perempuan,10,5629.0,1
187,A,kapal,3,2,183.0,3,sedang,Perempuan,44,3809.0,1
188,D,pesawat,6,4,171.0,5,sedang,Laki-laki,9,4376.0,1
189,F,darat,5,2,,5,rendah,Laki-laki,3,5723.0,1
190,F,kapal,4,5,258.0,2,tinggi,Laki-laki,5,3512.0,1
191,D,kapal,2,2,137.0,3,rendah,Perempuan,20,1823.0,1
192,F,kapal,3,4,183.0,2,sedang,Perempuan,52,2078.0,1
193,F,kapal,5,2,249.0,3,sedang,Laki-laki,6,5212.0,0
194,F,kapal,7,2,302.0,4,rendah,Laki-laki,6,1632.0,0
195,A,kapal,4,1,226.0,5,sedang,Laki-laki,6,1723.0,0
196,A,kapal,4,2,238.0,3,rendah,Perempuan,3,5265.0,1
197,C,darat,6,2,137.0,10,rendah,Perempuan,5,4510.0,0
198,B,kapal,4,3,259.0,3,tinggi,Laki-laki,45,3761.0,1
199,F,kapal,5,5,,3,tinggi,Perempuan,31,1364.0,1
200,C,pesawat,3,5,121.0,3,rendah,Perempuan,10,1701.0,1
201,C,darat,6,1,255.0,4,rendah,Laki-laki,5,1253.0,1
202,C,darat,4,4,179.0,3,rendah,Laki-laki,48,1943.0,1
203,A,kapal,3,4,263.0,3,sedang,Perempuan,2,5741.0,1
204,C,kapal,2,3,248.0,4,tinggi,Perempuan,2,4521.0,0
205,A,kapal,3,1,180.0,2,rendah,Laki-laki,26,1715.0,1
206,A,kapal,6,1,264.0,4,rendah,Laki-laki,9,1243.0,0
207,A,kapal,3,1,150.0,3,rendah,Perempuan,43,1831.0,1
208,F,darat,3,4,233.0,3,sedang,Perempuan,10,4626.0,0
209,A,darat,3,4,182.0,3,sedang,Perempuan,7,5409.0,1
210,B,darat,5,1,168.0,2,rendah,Perempuan,10,4240.0,0
211,C,darat,2,1,145.0,2,rendah,Perempuan,49,1177.0,1
212,F,kapal,3,5,159.0,3,sedang,Perempuan,1,4314.0,1
213,F,kapal,4,3,173.0,3,rendah,Perempuan,7,4810.0,1
214,C,kapal,4,4,133.0,2,sedang,Perempuan,4,4724.0,0
215,D,kapal,6,2,173.0,3,sedang,Perempuan,4,5970.0,0
216,C,darat,6,3,260.0,4,rendah,Laki-laki,4,1358.0,0
217,A,pesawat,3,5,151.0,3,rendah,Laki-laki,3,1273.0,1
218,F,kapal,5,3,140.0,5,sedang,Perempuan,6,1823.0,0
219,F,kapal,3,3,172.0,3,rendah,Perempuan,58,1269.0,1
220,B,kapal,4,3,213.0,3,rendah,Laki-laki,6,5447.0,0
221,F,kapal,3,4,187.0,2,sedang,Laki-laki,54,3290.0,1
222,F,kapal,5,2,140.0,5,sedang,Laki-laki,2,1521.0,0
223,F,darat,4,2,204.0,4,rendah,Perempuan,35,2725.0,1
224,C,kapal,2,3,,4,rendah,Laki-laki,44,3134.0,1
225,F,kapal,4,3,170.0,3,rendah,Perempuan,21,,1
226,F,kapal,3,1,206.0,3,sedang,Laki-laki,28,2892.0,1
227,F,kapal,6,3,267.0,4,sedang,Laki-laki,2,5917.0,1
228,F,darat,3,1,135.0,2,sedang,Laki-laki,7,1316.0,1
229,F,kapal,4,5,266.0,3,sedang,Perempuan,4,5928.0,1
230,F,kapal,7,1,255.0,4,sedang,Perempuan,8,1088.0,1
231,A,kapal,3,1,187.0,3,sedang,Laki-laki,2,5154.0,1
232,C,kapal,3,2,183.0,4,sedang,Perempuan,12,2777.0,1
233,A,kapal,5,4,252.0,5,rendah,Laki-laki,2,1847.0,1
234,F,kapal,3,1,132.0,3,rendah,Perempuan,2,4785.0,0
235,C,darat,6,2,286.0,4,rendah,Perempuan,5,1248.0,1
236,A,kapal,3,2,197.0,5,sedang,Perempuan,9,4291.0,1
237,D,pesawat,4,1,250.0,2,sedang,Laki-laki,45,3021.0,1
238,F,pesawat,2,5,166.0,3,sedang,Laki-laki,3,1832.0,1
239,A,kapal,6,4,209.0,5,rendah,Perempuan,53,3169.0,1
240,D,kapal,6,3,98.0,3,rendah,Perempuan,8,4651.0,1
241,B,darat,3,2,216.0,2,rendah,Perempuan,1,4350.0,1
242,F,kapal,5,4,147.0,4,sedang,Laki-laki,6,4369.0,0
243,D,pesawat,5,1,189.0,3,sedang,Perempuan,14,3318.0,1
244,F,darat,5,5,171.0,2,tinggi,Laki-laki,8,4602.0,0
245,F,kapal,5,3,253.0,4,rendah,Laki-laki,9,1729.0,0
246,B,pesawat,5,1,183.0,6,sedang,Perempuan,2,5082.0,0
247,B,darat,6,1,286.0,4,rendah,Perempuan,3,1747.0,1
248,A,kapal,3,2,209.0,2,rendah,Perempuan,24,2748.0,1
249,F,pesawat,3,3,231.0,3,sedang,Perempuan,4,4088.0,0
250,B,pesawat,5,1,151.0,2,sedang,Perempuan,30,1377.0,1
251,F,kapal,3,1,157.0,2,tinggi,Laki-laki,19,1898.0,1
252,B,kapal,5,2,239.0,5,sedang,Perempuan,6,1365.0,1
253,C,kapal,4,3,197.0,3,rendah,Laki-laki,2,4410.0,0
254,A,kapal,4,1,261.0,6,rendah,Perempuan,6,5861.0,0
255,B,pesawat,5,5,286.0,4,tinggi,Perempuan,10,1071.0,1
256,F,kapal,5,4,266.0,2,sedang,Laki-laki,1,5494.0,0
257,D,kapal,6,3,304.0,4,,Laki-laki,5,1215.0,1
258,C,darat,4,3,217.0,2,sedang,Laki-laki,22,2138.0,1
259,B,darat,3,5,244.0,5,sedang,Perempuan,10,4163.0,0
260,F,darat,5,1,234.0,3,tinggi,Perempuan,9,5548.0,0
261,F,kapal,2,4,,3,rendah,Perempuan,33,1278.0,1
262,B,darat,3,1,207.0,3,rendah,Perempuan,5,4643.0,1
263,D,kapal,7,5,288.0,4,rendah,Perempuan,1,1269.0,1
264,A,kapal,6,3,252.0,2,rendah,Laki-laki,6,1470.0,1
265,F,kapal,5,3,284.0,5,sedang,Perempuan,4,5343.0,1
266,D,pesawat,6,4,190.0,3,rendah,Laki-laki,7,3175.0,1
267,A,kapal,4,1,157.0,2,sedang,Perempuan,5,5647.0,0
268,A,darat,3,3,270.0,4,rendah,Perempuan,18,2397.0,1
269,F,kapal,4,5,237.0,5,rendah,Laki-laki,2,1357.0,1
270,B,kapal,5,1,160.0,4,sedang,Laki-laki,5,5841.0,0
271,F,pesawat,3,3,153.0,2,rendah,Perempuan,39,1328.0,1
272,B,darat,5,2,260.0,6,tinggi,Laki-laki,10,4087.0,1
273,F,kapal,4,4,101.0,5,rendah,Perempuan,8,4192.0,0
274,F,kapal,3,1,252.0,2,rendah,Laki-laki,4,5559.0,0
275,B,kapal,3,1,167.0,3,sedang,Laki-laki,10,4341.0,1
276,F,pesawat,4,1,269.0,3,rendah,Perempuan,3,4409.0,1
277,D,kapal,3,3,245.0,2,sedang,Perempuan,16,2577.0,1
278,B,darat,4,5,177.0,3,sedang,Laki-laki,7,4031.0,1
279,A,kapal,5,3,263.0,2,rendah,Laki-laki,3,4474.0,1
280,B,kapal,6,4,275.0,4,rendah,Laki-laki,10,1266.0,1
281,D,pesawat,3,3,203.0,3,sedang,Laki-laki,7,4977.0,1
282,F,kapal,3,4,204.0,2,rendah,Perempuan,10,5844.0,1
283,B,kapal,4,1,201.0,6,sedang,Perempuan,8,5529.0,0
284,D,kapal,3,3,233.0,3,rendah,Perempuan,5,4976.0,1
285,B,darat,6,5,141.0,3,sedang,Laki-laki,8,5031.0,0
286,F,kapal,2,4,208.0,3,sedang,Perempuan,6,4226.0,1
287,F,kapal,7,1,301.0,4,rendah,Perempuan,6,1052.0,1
288,A,kapal,4,5,188.0,3,rendah,Perempuan,13,2409.0,1
289,A,darat,3,5,221.0,3,sedang,Perempuan,8,4523.0,0
290,B,kapal,3,1,155.0,3,sedang,Perempuan,2,5446.0,0
291,F,darat,4,3,238.0,2,rendah,Perempuan,1,4051.0,0
292,A,kapal,5,5,228.0,3,sedang,Perempuan,8,4731.0,1
293,A,kapal,4,3,221.0,2,rendah,Perempuan,6,4114.0,1
294,F,kapal,5,1,193.0,6,sedang,Perempuan,4,5964.0,0
295,F,pesawat,6,1,261.0,4,sedang,Laki-laki,10,1290.0,1
296,B,kapal,5,4,223.0,3,sedang,Laki-laki,7,5738.0,0
297,F,kapal,2,3,136.0,3,rendah,Perempuan,19,1568.0,1
298,A,kapal,3,1,165.0,3,rendah,Perempuan,1,1417.0,1
299,B,kapal,2,5,132.0,3,rendah,Laki-laki,18,1759.0,1
300,D,kapal,5,4,193.0,3,sedang,Laki-laki,3,4559.0,0
301,D,pesawat,4,1,175.0,4,rendah,Laki-laki,2,4053.0,0
302,F,pesawat,3,4,196.0,4,rendah,Laki-laki,5,4749.0,1
303,F,darat,6,4,136.0,3,rendah,Laki-laki,2,1187.0,0
304,A,darat,4,1,245.0,2,rendah,Laki-laki,5,5324.0,1
305,F,kapal,5,4,137.0,2,rendah,Perempuan,2,4077.0,1
306,F,darat,6,5,167.0,3,rendah,Perempuan,2,5761.0,1
307,F,kapal,4,2,252.0,2,tinggi,Perempuan,4,5233.0,1
308,A,kapal,4,4,238.0,5,rendah,Laki-laki,1,4753.0,0
309,F,pesawat,3,5,102.0,6,sedang,Laki-laki,3,1341.0,1
310,C,kapal,3,1,234.0,3,tinggi,Perempuan,60,2596.0,1
311,C,kapal,2,3,158.0,2,sedang,Perempuan,36,1788.0,1
312,C,pesawat,3,5,208.0,4,sedang,Laki-laki,12,3181.0,1
313,F,kapal,4,3,242.0,6,rendah,Laki-laki,5,1411.0,0
314,A,pesawat,4,3,201.0,3,sedang,Perempuan,54,,1
315,B,kapal,5,5,180.0,5,sedang,Laki-laki,35,1725.0,1
316,A,kapal,6,1,283.0,4,rendah,Laki-laki,8,1404.0,0
317,F,darat,4,4,155.0,3,rendah,Perempuan,2,4094.0,1
318,C,kapal,4,1,255.0,5,sedang,Perempuan,1,1918.0,1
319,A,kapal,3,4,137.0,3,sedang,Perempuan,17,1212.0,1
320,F,kapal,4,1,190.0,2,sedang,Perempuan,4,4501.0,0
321,C,pesawat,4,4,127.0,5,rendah,Perempuan,16,1955.0,1
322,C,pesawat,5,1,220.0,3,sedang,Laki-laki,8,5727.0,1
323,A,kapal,2,3,274.0,4,sedang,Perempuan,10,4798.0,1
324,D,pesawat,4,3,190.0,5,rendah,Perempuan,8,4736.0,0
325,C,darat,5,1,105.0,5,rendah,Laki-laki,1,1101.0,1
326,C,pesawat,5,4,243.0,3,sedang,Laki-laki,4,4420.0,1
327,D,kapal,3,2,201.0,4,sedang,Laki-laki,10,5565.0,0
328,F,kapal,3,4,160.0,4,sedang,Laki-laki,9,4733.0,1
329,F,darat,3,5,195.0,3,sedang,Perempuan,10,5585.0,0
330,F,pesawat,5,5,156.0,2,rendah,Perempuan,8,4817.0,0
331,B,pesawat,3,4,179.0,2,sedang,Laki-laki,5,1340.0,0
332,C,kapal,4,3,260.0,4,rendah,Perempuan,5,5307.0,0
333,F,kapal,5,3,156.0,4,sedang,Perempuan,8,5868.0,0
334,D,kapal,3,4,273.0,3,tinggi,Perempuan,8,4530.0,1
335,F,kapal,4,1,135.0,3,sedang,Laki-laki,39,1549.0,1
336,A,kapal,3,1,257.0,4,rendah,Laki-laki,8,4692.0,1
337,D,kapal,4,3,173.0,4,rendah,Laki-laki,9,5672.0,0
338,F,kapal,4,3,192.0,3,sedang,Perempuan,10,5190.0,0
339,F,kapal,5,1,270.0,5,sedang,Laki-laki,10,1397.0,0
340,A,kapal,5,4,241.0,3,tinggi,Laki-laki,6,4157.0,0
341,A,kapal,3,2,193.0,2,rendah,Laki-laki,3,4799.0,1
342,B,kapal,4,4,111.0,6,rendah,Laki-laki,8,1145.0,1
343,A,kapal,2,2,273.0,3,rendah,Laki-laki,56,2633.0,1
344,F,pesawat,4,4,165.0,6,rendah,Perempuan,5,4640.0,1
345,F,pesawat,4,1,164.0,2,sedang,Perempuan,3,1124.0,1
346,C,kapal,2,2,212.0,4,sedang,Perempuan,3,1284.0,1
347,F,kapal,3,5,251.0,4,sedang,Perempuan,3,5215.0,1
348,F,kapal,3,5,146.0,3,sedang,Perempuan,7,4126.0,0
349,F,pesawat,3,4,172.0,2,sedang,Perempuan,5,4647.0,0
350,F,darat,4,5,225.0,4,rendah,Laki-laki,48,2767.0,1
351,F,kapal,4,5,263.0,2,rendah,Laki-laki,62,2267.0,1
352,F,kapal,5,5,137.0,3,rendah,Laki-laki,5,5914.0,1
353,A,kapal,3,2,261.0,8,rendah,Perempuan,3,5171.0,0
354,C,darat,4,2,268.0,3,sedang,Laki-laki,1,4927.0,0
355,C,kapal,5,3,200.0,8,rendah,Perempuan,9,2741.0,1
356,F,kapal,2,5,246.0,5,rendah,Laki-laki,46,2437.0,1
357,F,kapal,4,2,206.0,7,tinggi,Laki-laki,7,5479.0,1
358,D,darat,3,5,263.0,3,sedang,Laki-laki,4,4081.0,1
359,F,kapal,3,5,171.0,2,sedang,Laki-laki,1,4783.0,1
360,D,kapal,5,3,254.0,2,sedang,Laki-laki,4,3297.0,1
361,D,pesawat,5,4,235.0,2,sedang,Laki-laki,9,5549.0,0
362,F,kapal,5,4,242.0,5,rendah,Laki-laki,1,1571.0,1
363,A,kapal,5,3,273.0,4,,Laki-laki,2,4186.0,1
364,F,kapal,5,2,183.0,5,tinggi,Perempuan,8,4820.0,0
365,D,kapal,3,5,133.0,8,sedang,Perempuan,8,5002.0,1
366,C,pesawat,4,5,263.0,4,sedang,Perempuan,7,4243.0,1
367,F,pesawat,3,3,179.0,2,rendah,Perempuan,62,,1
368,F,pesawat,6,5,243.0,4,rendah,Perempuan,6,1898.0,1
369,F,kapal,3,5,150.0,3,sedang,Perempuan,4,4442.0,1
